MARKET_ID,CITY,CAT,DEPT CODE,DEPARTMENT NAME,CLIENT_UPC,UNIQUE_ID,BRAND,ITEM_DESCRIPTION,RICHTER,VENDOR .,VELOCITY,MSRP,PRICES REQUIRED,RETAILER,RETAIL,PRICE,NEXCOM_WEIGHTED_RETAIL,COMP_WEIGHTED_RETAIL
51,SAN DIEGO,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,BEST BUY,199.99,179.99,1169935,1299935
39,PENSACOLA,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,BEST BUY,249.99,229.99,1494935,1624935
39,PENSACOLA,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,WALMART SUPERCENTER,134,179.99,1169935,871000
39,PENSACOLA,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,BEST BUY,199.99,179.99,1169935,1299935
51,SAN DIEGO,,F5,AUDIO,001781770022,001781770022,Bose,BOSE Solo 5 TV Sound System,10223220,,1073,249.95,2,WALMART SUPERCENTER,199,179.99,193129.27,213527
51,SAN DIEGO,,F5,AUDIO,001781770022,001781770022,Bose,BOSE Solo 5 TV Sound System,10223220,,1073,249.95,2,BEST BUY,199.99,179.99,193129.27,214589.27
51,SAN DIEGO,,F5,AUDIO,001781772601,001781772601,Bose,BOSE Soundlink Revolve Plus Portable Speaker - Black,10770483,,3000,299.95,2,WALMART SUPERCENTER,259,259.99,779970,777000
51,SAN DIEGO,,F5,AUDIO,001781773135,001781773135,Bose,BOSE Soundsport Wireless In-Ear Headphones - Black,10348267,,2000,149.95,2,WALMART SUPERCENTER,149,109.99,219980,298000
51,SAN DIEGO,,F5,AUDIO,001781774418,001781774418,Bose,BOSE Soundlink Revolve Portable Speaker - Black,10770465,,1800,199.95,2,WALMART SUPERCENTER,199,169.99,305982,358200
51,SAN DIEGO,,F5,AUDIO,001781774418,001781774418,Bose,BOSE Soundlink Revolve Portable Speaker - Black,10770465,,1800,199.95,2,BEST BUY,199.99,169.99,305982,359982
39,PENSACOLA,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,WALMART SUPERCENTER,250,229.99,1494935,1625000
67,PEARL HARBOR,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,WALMART STORE,119,179.99,1169935,773500
51,SAN DIEGO,,F5,AUDIO,001781772601,001781772601,Bose,BOSE Soundlink Revolve Plus Portable Speaker - Black,10770483,,3000,299.95,2,BEST BUY,299.99,259.99,779970,899970
67,PEARL HARBOR,,F5,AUDIO,001781774418,001781774418,Bose,BOSE Soundlink Revolve Portable Speaker - Black,10770465,,1800,199.95,2,BEST BUY,199.99,169.99,305982,359982
67,PEARL HARBOR,,F5,AUDIO,001781774418,001781774418,Bose,BOSE Soundlink Revolve Portable Speaker - Black,10770465,,1800,199.95,2,WALMART STORE,199,169.99,305982,358200
67,PEARL HARBOR,,F5,AUDIO,001781773135,001781773135,Bose,BOSE Soundsport Wireless In-Ear Headphones - Black,10348267,,2000,149.95,2,BEST BUY,149.99,109.99,219980,299980
67,PEARL HARBOR,,F5,AUDIO,001781773135,001781773135,Bose,BOSE Soundsport Wireless In-Ear Headphones - Black,10348267,,2000,149.95,2,WALMART STORE,149,109.99,219980,298000
67,PEARL HARBOR,,F5,AUDIO,001781772601,001781772601,Bose,BOSE Soundlink Revolve Plus Portable Speaker - Black,10770483,,3000,299.95,2,BEST BUY,299.99,259.99,779970,899970
67,PEARL HARBOR,,F5,AUDIO,001781772601,001781772601,Bose,BOSE Soundlink Revolve Plus Portable Speaker - Black,10770483,,3000,299.95,2,WALMART STORE,299,259.99,779970,897000
67,PEARL HARBOR,,F5,AUDIO,001781770022,001781770022,Bose,BOSE Solo 5 TV Sound System,10223220,,1073,249.95,2,BEST BUY,199.99,179.99,193129.27,214589.27
67,PEARL HARBOR,,F5,AUDIO,001781770022,001781770022,Bose,BOSE Solo 5 TV Sound System,10223220,,1073,249.95,2,WALMART STORE,199,179.99,193129.27,213527
51,SAN DIEGO,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,WALMART SUPERCENTER,250,229.99,1494935,1625000
51,SAN DIEGO,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,KOHLS,249.99,229.99,1494935,1624935
67,PEARL HARBOR,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,BEST BUY,199.99,179.99,1169935,1299935
67,PEARL HARBOR,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,BEST BUY,249.99,229.99,1494935,1624935
67,PEARL HARBOR,,F5,AUDIO,019019909695,019019909695,Beats by Dre,Powerbeats Pro Wireless Earphones - Black 6PB803,13107508,,6500,249.95,2,WALMART STORE,250,229.99,1494935,1625000
51,SAN DIEGO,,F5,AUDIO,088846260255,088846260255,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Headphones (Black),10559189,,6500,199.95,2,WALMART SUPERCENTER,119,179.99,1169935,773500
